iter	RMSE
0	33.8202346
1	32.01579917
2	30.35650002
3	28.87764038
4	27.52206603
5	26.27142979
6	25.18091686
7	24.23051591
8	23.33436015
9	22.41050352
10	21.61604851
11	20.88798063
12	20.198119
13	19.57158417
14	18.96324065
15	18.39703463
16	17.88357233
17	17.42853647
18	16.96959516
19	16.54289484
20	16.10341951
21	15.69404974
22	15.29520091
23	14.9407146
24	14.61755803
25	14.32648334
26	13.96592844
27	13.67145741
28	13.4065624
29	13.16704134
30	12.86503296
31	12.64379416
32	12.37116222
33	12.15680963
34	11.96501868
35	11.8129412
36	11.60106976
37	11.41764247
38	11.22798683
39	11.02225806
40	10.83878411
41	10.68263706
42	10.52301778
43	10.38422534
44	10.23953545
45	10.11194591
46	9.979054018
47	9.853142037
48	9.722625951
49	9.603842546
50	9.45924278
51	9.311404333
52	9.207515656
53	9.107241283
54	9.017375109
55	8.923261666
56	8.853875126
57	8.766071145
58	8.652825221
59	8.568241452
60	8.493264469
61	8.414759163
62	8.31282138
63	8.24806322
64	8.189550399
65	8.12227269
66	8.045727525
67	7.994191146
68	7.943484553
69	7.880677237
70	7.823016747
71	7.775415554
72	7.721859068
73	7.672518048
74	7.632273564
75	7.585441205
76	7.545962679
77	7.501020907
78	7.464232981
79	7.425194085
80	7.385211317
81	7.353949054
82	7.320267141
83	7.273780997
84	7.230337845
85	7.199134758
86	7.164433044
87	7.135403269
88	7.095495473
89	7.061971021
90	7.029334016
91	6.993288981
92	6.972521464
93	6.949664525
94	6.916972747
95	6.889724867
96	6.869568568
97	6.848310353
98	6.824040653
99	6.797581165
100	6.770119971
101	6.748433651
102	6.726617316
103	6.698794785
104	6.678018981
105	6.65015662
106	6.635850471
107	6.622098963
108	6.603842585
109	6.581740855
110	6.561102347
111	6.539458555
112	6.524847027
113	6.502427375
114	6.485066724
115	6.471108786
116	6.453418974
117	6.438062046
118	6.428038248
119	6.407188364
120	6.391959104
121	6.373857371
122	6.360829213
123	6.342774081
124	6.327389093
125	6.313817508
126	6.301123701
127	6.283587398
128	6.268406353
129	6.253543661
130	6.241221944
131	6.22956334
132	6.216883128
133	6.203555549
134	6.194128958
135	6.184570745
136	6.168419121
137	6.154640092
138	6.143790083
139	6.13246511
140	6.123329897
141	6.113868809
142	6.102869427
143	6.091049762
144	6.076592347
145	6.061015845
146	6.05176511
147	6.043274909
148	6.032045485
149	6.020911414
150	6.008770557
151	5.998318369
152	5.990395403
153	5.979133113
154	5.97087366
155	5.965080965
156	5.955788388
157	5.94815457
158	5.941561091
159	5.932242286
160	5.924846201
161	5.914143312
162	5.907711692
163	5.897285167
164	5.888388199
165	5.879184994
166	5.86838613
167	5.86235987
168	5.856244787
169	5.846198361
170	5.841235322
171	5.829378824
172	5.825346855
173	5.818007465
174	5.815621809
175	5.80851565
176	5.800536049
177	5.793287287
178	5.783273193
179	5.775687476
180	5.772004866
181	5.764014517
182	5.759390189
183	5.759260248
184	5.748799837
185	5.74165566
186	5.73759615
187	5.732841973
188	5.727259369
189	5.722361601
190	5.71868429
191	5.716045735
192	5.715414985
193	5.706367092
194	5.696374494
195	5.696317086
196	5.696251497
197	5.685709571
198	5.679293259
199	5.670362991
200	5.668281929
201	5.668234754
202	5.659928479
203	5.659784684
204	5.659607874
205	5.653117923
206	5.651469314
207	5.644115115
208	5.639132297
209	5.632796638
210	5.627520184
211	5.624355508
212	5.617715432
213	5.617507623
214	5.616974587
215	5.610338158
216	5.604431662
217	5.598199831
218	5.590031381
219	5.584541812
220	5.579374709
221	5.576963723
222	5.573634858
223	5.568943575
224	5.564552159
225	5.562797355
226	5.560490753
227	5.554280633
228	5.54847306
229	5.546001876
230	5.5406722
231	5.537866064
232	5.53550644
233	5.529515723
234	5.527052197
235	5.52416261
236	5.51947924
237	5.515923416
238	5.513622214
239	5.503523734
240	5.502021673
241	5.498834688
242	5.495865937
243	5.48946384
244	5.484857868
245	5.482468532
246	5.479894445
247	5.479246415
248	5.477175162
249	5.475390073
250	5.474135709
251	5.473951688
252	5.469556329
253	5.469403876
254	5.467895999
255	5.463232361
256	5.460008479
257	5.458205741
258	5.453837262
259	5.449084835
260	5.442934155
261	5.442013202
262	5.440873351
263	5.437572475
264	5.43573176
265	5.435661727
266	5.434934024
267	5.43489486
268	5.429392211
269	5.425854519
270	5.423057071
271	5.419044343
272	5.415840002
273	5.414699606
274	5.410412281
275	5.410271424
276	5.407697724
277	5.405319896
278	5.402025204
279	5.399728667
280	5.394120596
281	5.390388111
282	5.390053231
283	5.387701982
284	5.387581661
285	5.385928252
286	5.385271658
287	5.38332573
288	5.380488188
289	5.37621932
290	5.375302686
291	5.374686438
292	5.370555447
293	5.366691042
294	5.364516928
295	5.360967671
296	5.358553472
297	5.355611893
298	5.350807165
299	5.350456393
300	5.349828767
301	5.346124559
302	5.344688057
303	5.341090603
304	5.340982034
305	5.338223771
306	5.334820073
307	5.332140845
308	5.331993037
309	5.331705585
310	5.327941661
311	5.326727605
312	5.326655161
313	5.324138513
314	5.322386783
315	5.318837817
316	5.318333101
317	5.317200959
318	5.313897274
319	5.310820756
320	5.306566508
321	5.303446266
322	5.30058942
323	5.298969645
324	5.296731758
325	5.296705141
326	5.293376068
327	5.291787719
328	5.288945354
329	5.287301191
330	5.283592392
331	5.281456808
332	5.281402157
333	5.281046579
334	5.278357136
335	5.27573822
336	5.27257442
337	5.271495562
338	5.268453427
339	5.265762804
340	5.264471062
341	5.263535516
342	5.259936478
343	5.258814497
344	5.25740871
345	5.254733162
346	5.252126999
347	5.250024842
348	5.249853724
349	5.247892667
350	5.245662585
351	5.242746772
352	5.242100131
353	5.239645039
354	5.239318526
355	5.23824816
356	5.235667013
357	5.234143994
358	5.230116939
359	5.228410924
360	5.227250761
361	5.224494421
362	5.222489761
363	5.221247653
364	5.21940551
365	5.21870136
366	5.218422033
367	5.217227742
368	5.215383078
369	5.215227751
370	5.212979487
371	5.212839382
372	5.212075498
373	5.210923292
374	5.210809956
375	5.210682645
376	5.205719853
377	5.204394926
378	5.202771646
379	5.20168419
380	5.200867906
381	5.199446376
382	5.198049829
383	5.196102427
384	5.193937084
385	5.192697672
386	5.191428134
387	5.19004234
388	5.189356375
389	5.187905784
390	5.186564517
391	5.185102324
392	5.182540516
393	5.181844852
394	5.181284033
395	5.178743445
396	5.177588462
397	5.176258055
398	5.176162509
399	5.173889398
400	5.172033523
401	5.17194152
402	5.171668617
403	5.169870295
404	5.167327061
405	5.165735962
406	5.164014074
407	5.16254164
408	5.162424859
409	5.161214934
410	5.159976872
411	5.158704138
412	5.158158946
413	5.157066624
414	5.155065672
415	5.154980724
416	5.153056772
417	5.152975121
418	5.151008671
419	5.15054112
420	5.150026342
421	5.148456323
422	5.146616443
423	5.143618971
424	5.142963491
425	5.142414167
426	5.140531597
427	5.138769959
428	5.138122239
429	5.136516141
430	5.136231623
431	5.133975861
432	5.131002045
433	5.130146727
434	5.128460925
435	5.126783563
436	5.1257935
437	5.124701599
438	5.12303548
439	5.121967195
440	5.120938461
441	5.1196919
442	5.118239513
443	5.116487397
444	5.115906156
445	5.11467546
446	5.11385873
447	5.113007293
448	5.112954866
449	5.11204749
450	5.111101121
451	5.110377317
452	5.109098222
453	5.107332583
454	5.10676588
455	5.106104905
456	5.105373804
457	5.105292072
458	5.105072556
459	5.103527949
460	5.103270311
461	5.102853053
462	5.102494975
463	5.102109228
464	5.101483778
465	5.09963971
466	5.098397902
467	5.097520074
468	5.094973015
469	5.094772681
470	5.094691891
471	5.094385508
472	5.093978727
473	5.093347432
474	5.090986196
475	5.090582507
476	5.090132129
477	5.088406665
478	5.087455977
479	5.084703539
480	5.084002912
481	5.082824411
482	5.081383443
483	5.081295209
484	5.07895998
485	5.078024502
486	5.076489458
487	5.075872649
488	5.075590699
489	5.074874595
490	5.074074419
491	5.073434385
492	5.071918275
493	5.071157487
494	5.069781555
495	5.06894761
496	5.068712463
497	5.066760611
498	5.066419442
499	5.065204488
500	5.064104288
501	5.06352686
502	5.063244823
503	5.062760876
504	5.060308137
505	5.059147716
506	5.058899504
507	5.058739477
508	5.057279149
509	5.056300963
510	5.055554199
511	5.055119784
512	5.054628781
513	5.05447467
514	5.053319429
515	5.052578196
516	5.052507519
517	5.050979421
518	5.049865315
519	5.048765853
520	5.048606641
521	5.047524542
522	5.046293284
523	5.044485165
524	5.04416862
525	5.043121771
526	5.041963075
527	5.041557931
528	5.040984719
529	5.040940136
530	5.039894796
531	5.039168194
532	5.038752023
533	5.037051068
534	5.036291414
535	5.035508279
536	5.034925754
537	5.033202386
538	5.032688564
539	5.031522722
540	5.03140678
541	5.031019605
542	5.029792829
543	5.028662249
544	5.02792096
545	5.027001116
546	5.026502432
547	5.025646106
548	5.025038109
549	5.024377516
550	5.023002035
551	5.021628382
552	5.020572917
553	5.01894661
554	5.017917391
555	5.016875883
556	5.016095764
557	5.015229126
558	5.014336888
559	5.012958824
560	5.01212825
561	5.011414441
562	5.009935823
563	5.009451595
564	5.009253396
565	5.008712476
566	5.007816561
567	5.007775626
568	5.006747339
569	5.005725222
570	5.005363396
571	5.003657026
572	5.002820486
573	5.001493356
574	5.000175164
575	4.999222574
576	4.997911484
577	4.997862711
578	4.997470714
579	4.997210842
580	4.997130146
581	4.996816737
582	4.996630552
583	4.99546713
584	4.99493795
585	4.994366889
586	4.994018804
587	4.992062656
588	4.990892512
589	4.990022765
590	4.989944006
591	4.989062647
592	4.988434058
593	4.987625663
594	4.987266585
595	4.98509223
596	4.983742337
597	4.982546804
598	4.981794728
599	4.980775807
600	4.980014832
601	4.979582744
602	4.978847944
603	4.978075335
604	4.977835876
605	4.976911749
606	4.976270407
607	4.976052618
608	4.975269545
609	4.974905486
610	4.974513541
611	4.973002157
612	4.972559945
613	4.971479659
614	4.971444531
615	4.970175129
616	4.969772451
617	4.969314714
618	4.969299381
619	4.96826859
620	4.96757775
621	4.966491879
622	4.965481162
623	4.96500331
624	4.963578945
625	4.963538742
626	4.962555839
627	4.962093163
628	4.961577834
629	4.961270646
630	4.960471298
631	4.959431214
632	4.958881678
633	4.958536046
634	4.958082779
635	4.957685858
636	4.957636125
637	4.956006734
638	4.955255216
639	4.954651059
640	4.954633195
641	4.954343166
642	4.953902507
643	4.953480936
644	4.952620803
645	4.952019157
646	4.950960843
647	4.950301047
648	4.950102646
649	4.950071886
650	4.949371096
651	4.949175137
652	4.947865272
653	4.947117805
654	4.945831983
655	4.944668506
656	4.943901487
657	4.943747812
658	4.943581193
659	4.943148053
660	4.943100479
661	4.942579451
662	4.942343148
663	4.941233589
664	4.941077029
665	4.940772805
666	4.940311626
667	4.940211344
668	4.939299389
669	4.939170477
670	4.93852352
671	4.93793067
672	4.937396671
673	4.936881577
674	4.936851265
675	4.936401552
676	4.936324243
677	4.935661992
678	4.935213443
679	4.934391244
680	4.933462335
681	4.932726703
682	4.932239161
683	4.93203037
684	4.931285434
685	4.930886055
686	4.930771592
687	4.93014021
688	4.929226441
689	4.928828038
690	4.927768317
691	4.927082708
692	4.927053681
693	4.927047832
694	4.926934698
695	4.926164875
696	4.925786081
697	4.925305849
698	4.925015835
699	4.924667445
700	4.924626049
701	4.9240808
702	4.923532454
703	4.923221677
704	4.92318887
705	4.922923043
706	4.922353543
707	4.921620185
708	4.921244957
709	4.920478453
710	4.920201816
711	4.919664739
712	4.919653236
713	4.91896064
714	4.918283489
715	4.91729685
716	4.917175233
717	4.916402776
718	4.916201554
719	4.915568678
720	4.914970528
721	4.914206146
722	4.913407174
723	4.912801019
724	4.912598178
725	4.912390357
726	4.911672043
727	4.911116415
728	4.91067061
729	4.910262404
730	4.909490273
731	4.908969936
732	4.908573655
733	4.907612019
734	4.907205918
735	4.906151148
736	4.9058477
737	4.905331207
738	4.9049023
739	4.903071678
740	4.902658943
741	4.901545392
742	4.900846184
743	4.900273723
744	4.900187021
745	4.899968988
746	4.899589558
747	4.898404521
748	4.898133771
749	4.897200802
750	4.896354985
751	4.895743727
752	4.894539468
753	4.894182141
754	4.893802991
755	4.893018411
756	4.892142138
757	4.891415467
758	4.891272878
759	4.890671895
760	4.890121193
761	4.888788089
762	4.888778157
763	4.888490881
764	4.888481984
765	4.887641869
766	4.886965392
767	4.886669121
768	4.886119757
769	4.885758805
770	4.885029709
771	4.884472594
772	4.88417049
773	4.88391551
774	4.883530006
775	4.882725832
776	4.882416082
777	4.882009107
778	4.88153864
779	4.880327322
780	4.879751118
781	4.879216628
782	4.879098091
783	4.877851799
784	4.877675718
785	4.877665749
786	4.877176403
787	4.87686504
788	4.876274456
789	4.875518783
790	4.8743108
791	4.874027618
792	4.872530064
793	4.872189018
794	4.871703205
795	4.871361789
796	4.870441699
797	4.869862487
798	4.869768001
799	4.869465739
800	4.869253318
801	4.869163309
802	4.868424159
803	4.867492642
804	4.866658485
805	4.866424854
806	4.866013169
807	4.865941777
808	4.865782535
809	4.865037386
810	4.864784742
811	4.864401238
812	4.864012959
813	4.863466915
814	4.863132825
815	4.862223651
816	4.860981043
817	4.860495856
818	4.860012257
819	4.858653604
820	4.858457439
821	4.85812374
822	4.857939629
823	4.857936874
824	4.857926482
825	4.857776032
826	4.857008701
827	4.856821174
828	4.856715775
829	4.856225408
830	4.856027523
831	4.855540591
832	4.855261625
833	4.855254198
834	4.854635597
835	4.854024224
836	4.854016013
837	4.853898914
838	4.853488866
839	4.852871164
840	4.852772644
841	4.852412452
842	4.852232378
843	4.851521422
844	4.85111804
845	4.85097829
846	4.850185264
847	4.849699759
848	4.848876611
849	4.848611836
850	4.84785134
851	4.847175936
852	4.846895809
853	4.84647578
854	4.846056501
855	4.845445059
856	4.844966682
857	4.844884387
858	4.84480135
859	4.844555818
860	4.843909858
861	4.843817182
862	4.842931456
863	4.842431142
864	4.84210348
865	4.841936309
866	4.841411249
867	4.840760685
868	4.839948297
869	4.839114849
870	4.838418614
871	4.838372085
872	4.83819451
873	4.838164888
874	4.837900196
875	4.837155362
876	4.835972883
877	4.835408116
878	4.835107926
879	4.834489915
880	4.83435543
881	4.833672041
882	4.832577499
883	4.832413424
884	4.831946903
885	4.831617092
886	4.830318265
887	4.829764814
888	4.829488022
889	4.82921586
890	4.828405063
891	4.827578236
892	4.827287748
893	4.8272547
894	4.827228536
895	4.826051319
896	4.825372826
897	4.825155037
898	4.824861893
899	4.824756032
900	4.824351048
901	4.82413372
902	4.823616816
903	4.823367792
904	4.822807642
905	4.822731785
906	4.822406716
907	4.821440387
908	4.820561609
909	4.819821287
910	4.819225673
911	4.81842516
912	4.817966281
913	4.817487796
914	4.817203084
915	4.816891132
916	4.816437783
917	4.816093552
918	4.815596908
919	4.81517423
920	4.814967097
921	4.814794404
922	4.814355561
923	4.814047949
924	4.814020304
925	4.813111176
926	4.812735767
927	4.812414796
928	4.812180598
929	4.811579058
930	4.811491796
931	4.811398107
932	4.810862157
933	4.810468605
934	4.810271397
935	4.810181565
936	4.809255909
937	4.80915866
938	4.80840121
939	4.807612076
940	4.807320116
941	4.8070013
942	4.806321069
943	4.805553474
944	4.805290448
945	4.804722066
946	4.804614958
947	4.804018177
948	4.803368086
949	4.802932626
950	4.802051505
951	4.801874991
952	4.801681891
953	4.801260728
954	4.800647382
955	4.800433098
956	4.799855162
957	4.799783771
958	4.799194739
959	4.799099945
960	4.798679259
961	4.798517565
962	4.798136993
963	4.797576934
964	4.797466381
965	4.797317869
966	4.796734213
967	4.796582236
968	4.796226062
969	4.796208021
970	4.795898312
971	4.795456037
972	4.794626365
973	4.793799273
974	4.793633011
975	4.793376112
976	4.792489167
977	4.792293083
978	4.791672821
979	4.791625643
980	4.791447843
981	4.791304085
982	4.790919298
983	4.790501065
984	4.790268326
985	4.790263396
986	4.789516112
987	4.788956577
988	4.788615594
989	4.788275967
990	4.787859203
991	4.787492025
992	4.786747948
993	4.786246133
994	4.785335034
995	4.78498242
996	4.784571854
997	4.783866352
998	4.783792958
999	4.783003338
