iter	Passed	Remaining
0	230	230544
1	295	147491
2	353	117357
3	410	102304
4	469	93503
5	526	87150
6	580	82311
7	634	78692
8	691	76120
9	746	73890
10	802	72122
11	858	70672
12	913	69378
13	970	68323
14	1023	67212
15	1077	66263
16	1142	66041
17	1197	65310
18	1252	64680
19	1304	63928
20	1358	63323
21	1413	62823
22	1467	62336
23	1524	61991
24	1578	61579
25	1630	61086
26	1683	60671
27	1744	60553
28	1798	60219
29	1850	59839
30	1902	59460
31	1957	59224
32	2011	58948
33	2066	58708
34	2120	58478
35	2174	58230
36	2228	58007
37	2283	57806
38	2337	57599
39	2388	57317
40	2443	57160
41	2500	57043
42	2552	56810
43	2604	56598
44	2657	56407
45	2709	56193
46	2763	56026
47	2815	55841
48	2868	55667
49	2922	55518
50	2969	55246
51	3020	55066
52	3074	54927
53	3126	54771
54	3180	54652
55	3233	54513
56	3284	54332
57	3336	54182
58	3387	54025
59	3440	53895
60	3498	53855
61	3551	53728
62	3599	53534
63	3655	53455
64	3719	53498
65	3772	53379
66	3823	53248
67	3875	53116
68	3925	52967
69	3979	52875
70	4035	52800
71	4087	52677
72	4139	52570
73	4192	52459
74	4247	52382
75	4297	52245
76	4352	52178
77	4404	52059
78	4457	51961
79	4512	51898
80	4562	51761
81	4615	51676
82	4667	51572
83	4721	51489
84	4772	51371
85	4825	51287
86	4877	51189
87	4928	51081
88	4979	50965
89	5026	50827
90	5082	50765
91	5132	50659
92	5185	50569
93	5236	50471
94	5290	50402
95	5342	50309
96	5396	50236
97	5447	50142
98	5501	50073
99	5554	49989
100	5611	49944
101	5667	49894
102	5719	49808
103	5773	49738
104	5824	49649
105	5875	49556
106	5927	49467
107	5976	49357
108	6026	49260
109	6081	49208
110	6132	49115
111	6180	49000
112	6235	48948
113	6287	48864
114	6341	48799
115	6394	48729
116	6447	48657
117	6500	48586
118	6555	48529
119	6608	48465
120	6664	48415
121	6718	48354
122	6772	48290
123	6829	48247
124	6885	48195
125	6938	48129
126	6993	48073
127	7048	48016
128	7103	47960
129	7162	47936
130	7240	48031
131	7291	47948
132	7342	47866
133	7397	47807
134	7450	47740
135	7507	47695
136	7561	47634
137	7617	47582
138	7668	47502
139	7722	47438
140	7778	47390
141	7843	47393
142	7916	47443
143	7964	47343
144	8017	47276
145	8071	47214
146	8123	47138
147	8175	47064
148	8231	47010
149	8284	46945
150	8339	46887
151	8393	46828
152	8444	46749
153	8497	46679
154	8556	46647
155	8609	46580
156	8663	46518
157	8718	46460
158	8773	46404
159	8828	46350
160	8880	46280
161	8932	46204
162	8989	46159
163	9043	46097
164	9097	46036
165	9150	45974
166	9205	45918
167	9260	45861
168	9315	45804
169	9369	45742
170	9420	45672
171	9479	45634
172	9535	45581
173	9586	45506
174	9637	45432
175	9689	45366
176	9744	45310
177	9795	45236
178	9854	45199
179	9909	45142
180	9963	45085
181	10018	45029
182	10066	44941
183	10120	44882
184	10176	44832
185	10232	44779
186	10279	44692
187	10326	44599
188	10382	44550
189	10437	44496
190	10489	44430
191	10541	44364
192	10588	44272
193	10643	44219
194	10695	44151
195	10746	44083
196	10797	44010
197	10852	43959
198	10908	43909
199	10965	43861
200	11016	43790
201	11065	43715
202	11120	43658
203	11171	43590
204	11220	43514
205	11277	43466
206	11330	43407
207	11387	43359
208	11440	43299
209	11497	43253
210	11554	43207
211	11609	43152
212	11664	43096
213	11718	43039
214	11769	42971
215	11822	42912
216	11876	42855
217	11930	42795
218	11987	42750
219	12044	42701
220	12100	42653
221	12155	42598
222	12205	42527
223	12257	42462
224	12312	42409
225	12369	42362
226	12423	42304
227	12477	42246
228	12546	42243
229	12608	42209
230	12663	42158
231	12724	42121
232	12776	42057
233	12830	42001
234	12878	41924
235	12933	41868
236	12987	41811
237	13041	41755
238	13097	41704
239	13152	41650
240	13211	41607
241	13265	41551
242	13321	41498
243	13375	41442
244	13430	41388
245	13489	41345
246	13544	41291
247	13597	41231
248	13648	41165
249	13701	41104
250	13749	41029
251	13802	40970
252	13855	40910
253	13905	40841
254	13954	40769
255	14010	40719
256	14066	40665
257	14115	40596
258	14170	40542
259	14229	40498
260	14279	40432
261	14331	40368
262	14380	40298
263	14436	40246
264	14491	40192
265	14542	40129
266	14595	40070
267	14645	40002
268	14701	39949
269	14756	39897
270	14812	39845
271	14866	39789
272	14924	39743
273	14975	39678
274	15033	39632
275	15085	39571
276	15140	39518
277	15196	39466
278	15253	39417
279	15308	39364
280	15360	39303
281	15415	39248
282	15469	39194
283	15526	39145
284	15579	39085
285	15631	39023
286	15684	38966
287	15740	38915
288	15792	38853
289	15846	38797
290	15904	38749
291	15958	38693
292	16031	38684
293	16091	38642
294	16145	38585
295	16215	38567
296	16286	38549
297	16350	38517
298	16404	38461
299	16459	38406
300	16517	38358
301	16574	38308
302	16631	38258
303	16690	38212
304	16756	38183
305	16821	38149
306	16873	38089
307	16919	38013
308	16971	37953
309	17034	37916
310	17090	37863
311	17187	37900
312	17244	37849
313	17304	37805
314	17361	37753
315	17414	37695
316	17467	37634
317	17520	37576
318	17574	37518
319	17626	37457
320	17687	37414
321	17740	37355
322	17797	37303
323	17854	37251
324	17911	37201
325	17968	37150
326	18023	37094
327	18080	37042
328	18135	36988
329	18191	36934
330	18248	36882
331	18299	36819
332	18353	36762
333	18407	36705
334	18463	36652
335	18526	36612
336	18584	36561
337	18642	36512
338	18698	36459
339	18754	36405
340	18809	36350
341	18862	36290
342	18923	36247
343	18978	36192
344	19045	36159
345	19099	36101
346	19152	36042
347	19210	35991
348	19263	35932
349	19317	35875
350	19373	35822
351	19430	35769
352	19492	35726
353	19547	35670
354	19600	35611
355	19653	35553
356	19711	35503
357	19774	35461
358	19830	35407
359	19885	35352
360	19943	35302
361	20000	35250
362	20055	35193
363	20112	35140
364	20165	35082
365	20231	35045
366	20287	34991
367	20345	34941
368	20401	34887
369	20458	34835
370	20515	34782
371	20564	34716
372	20618	34658
373	20673	34603
374	20728	34547
375	20776	34480
376	20826	34416
377	20883	34364
378	20936	34305
379	20997	34258
380	21050	34199
381	21104	34143
382	21155	34080
383	21208	34022
384	21262	33964
385	21318	33911
386	21373	33854
387	21429	33801
388	21489	33753
389	21546	33700
390	21597	33638
391	21655	33588
392	21711	33534
393	21763	33473
394	21818	33417
395	21873	33362
396	21928	33307
397	21983	33251
398	22035	33191
399	22087	33131
400	22144	33078
401	22200	33024
402	22261	32977
403	22321	32929
404	22385	32887
405	22443	32836
406	22501	32784
407	22559	32733
408	22614	32677
409	22676	32631
410	22735	32582
411	22788	32523
412	22841	32464
413	22896	32409
414	22948	32349
415	23000	32289
416	23057	32235
417	23109	32176
418	23161	32117
419	23216	32060
420	23270	32003
421	23326	31948
422	23380	31893
423	23434	31835
424	23491	31782
425	23545	31725
426	23599	31668
427	23654	31613
428	23707	31554
429	23760	31496
430	23812	31436
431	23864	31377
432	23917	31319
433	23969	31260
434	24024	31204
435	24079	31148
436	24133	31092
437	24189	31037
438	24243	30981
439	24298	30924
440	24353	30869
441	24405	30811
442	24462	30757
443	24520	30705
444	24578	30653
445	24632	30596
446	24684	30538
447	24738	30480
448	24791	30423
449	24844	30365
450	24900	30310
451	24949	30248
452	25005	30193
453	25058	30135
454	25111	30078
455	25166	30022
456	25219	29964
457	25268	29902
458	25320	29844
459	25371	29784
460	25426	29728
461	25479	29670
462	25534	29616
463	25586	29556
464	25640	29500
465	25695	29445
466	25754	29394
467	25807	29337
468	25859	29278
469	25913	29221
470	25964	29161
471	26016	29102
472	26070	29046
473	26120	28985
474	26173	28928
475	26225	28869
476	26281	28815
477	26336	28761
478	26396	28710
479	26449	28653
480	26508	28602
481	26564	28548
482	26621	28495
483	26678	28441
484	26741	28395
485	26798	28342
486	26856	28290
487	26918	28241
488	26972	28185
489	27028	28131
490	27082	28074
491	27139	28021
492	27196	27968
493	27252	27914
494	27313	27865
495	27373	27814
496	27427	27758
497	27484	27705
498	27540	27651
499	27596	27596
500	27666	27556
501	27724	27504
502	27780	27448
503	27835	27393
504	27903	27350
505	27960	27297
506	28016	27243
507	28077	27193
508	28139	27144
509	28196	27091
510	28251	27035
511	28308	26982
512	28375	26937
513	28433	26885
514	28489	26830
515	28544	26774
516	28600	26719
517	28655	26663
518	28711	26609
519	28770	26557
520	28825	26501
521	28881	26446
522	28940	26395
523	28998	26342
524	29055	26288
525	29114	26236
526	29170	26181
527	29226	26127
528	29284	26073
529	29337	26016
530	29387	25956
531	29441	25899
532	29499	25846
533	29554	25791
534	29615	25740
535	29671	25685
536	29727	25630
537	29781	25574
538	29841	25523
539	29907	25476
540	29980	25436
541	30034	25379
542	30095	25328
543	30151	25274
544	30209	25221
545	30269	25169
546	30325	25113
547	30388	25065
548	30442	25008
549	30501	24955
550	30562	24904
551	30616	24848
552	30670	24791
553	30724	24734
554	30781	24680
555	30838	24626
556	30894	24571
557	30951	24516
558	31006	24461
559	31061	24405
560	31116	24349
561	31173	24295
562	31226	24237
563	31282	24182
564	31340	24129
565	31402	24078
566	31457	24022
567	31509	23964
568	31565	23910
569	31617	23852
570	31680	23802
571	31733	23744
572	31792	23692
573	31851	23638
574	31906	23582
575	31961	23527
576	32016	23471
577	32074	23417
578	32130	23362
579	32182	23304
580	32232	23245
581	32290	23191
582	32343	23133
583	32398	23078
584	32456	23025
585	32511	22968
586	32564	22911
587	32617	22854
588	32674	22799
589	32730	22744
590	32786	22689
591	32839	22632
592	32894	22576
593	32949	22520
594	33005	22466
595	33061	22410
596	33118	22356
597	33172	22300
598	33228	22244
599	33281	22187
600	33336	22131
601	33392	22076
602	33452	22024
603	33509	21969
604	33562	21912
605	33618	21857
606	33685	21809
607	33741	21754
608	33796	21698
609	33848	21640
610	33901	21583
611	33958	21529
612	34016	21475
613	34071	21419
614	34123	21361
615	34181	21307
616	34233	21250
617	34289	21194
618	34338	21135
619	34398	21082
620	34449	21024
621	34505	20969
622	34574	20922
623	34653	20880
624	34708	20825
625	34765	20770
626	34821	20715
627	34877	20659
628	34933	20604
629	34987	20548
630	35041	20491
631	35095	20435
632	35149	20379
633	35202	20321
634	35258	20266
635	35312	20210
636	35366	20153
637	35428	20102
638	35490	20050
639	35550	19996
640	35600	19938
641	35652	19881
642	35704	19823
643	35758	19767
644	35812	19710
645	35866	19654
646	35937	19607
647	35995	19553
648	36052	19498
649	36105	19441
650	36165	19388
651	36217	19330
652	36273	19275
653	36330	19220
654	36387	19165
655	36445	19111
656	36504	19058
657	36563	19004
658	36621	18949
659	36677	18894
660	36731	18838
661	36786	18782
662	36842	18727
663	36900	18672
664	36960	18619
665	37016	18563
666	37072	18508
667	37127	18452
668	37182	18396
669	37236	18340
670	37293	18285
671	37352	18231
672	37412	18178
673	37469	18123
674	37522	18066
675	37582	18012
676	37638	17957
677	37694	17902
678	37750	17846
679	37806	17791
680	37865	17737
681	37940	17690
682	37997	17635
683	38053	17580
684	38125	17532
685	38181	17476
686	38233	17419
687	38284	17361
688	38341	17306
689	38396	17250
690	38465	17200
691	38520	17145
692	38575	17089
693	38626	17031
694	38681	16975
695	38734	16918
696	38793	16864
697	38849	16808
698	38909	16754
699	38960	16697
700	39016	16641
701	39071	16585
702	39125	16529
703	39184	16475
704	39243	16421
705	39301	16366
706	39357	16310
707	39413	16255
708	39474	16201
709	39528	16145
710	39583	16089
711	39640	16034
712	39696	15978
713	39758	15925
714	39814	15870
715	39869	15814
716	39932	15761
717	39987	15705
718	40042	15649
719	40098	15593
720	40156	15538
721	40213	15483
722	40272	15429
723	40329	15374
724	40384	15318
725	40439	15262
726	40490	15204
727	40546	15149
728	40603	15094
729	40656	15037
730	40711	14981
731	40765	14924
732	40817	14867
733	40874	14812
734	40930	14757
735	40986	14701
736	41042	14646
737	41098	14590
738	41156	14535
739	41211	14479
740	41266	14423
741	41321	14367
742	41380	14313
743	41439	14258
744	41495	14203
745	41554	14148
746	41612	14093
747	41668	14038
748	41725	13982
749	41783	13927
750	41839	13872
751	41895	13816
752	41950	13760
753	42006	13704
754	42060	13648
755	42115	13592
756	42171	13537
757	42227	13481
758	42288	13427
759	42344	13372
760	42399	13315
761	42460	13261
762	42516	13206
763	42571	13150
764	42640	13098
765	42695	13042
766	42764	12991
767	42819	12935
768	42875	12879
769	42931	12823
770	42989	12768
771	43047	12713
772	43105	12658
773	43161	12602
774	43219	12547
775	43272	12490
776	43328	12435
777	43385	12380
778	43445	12325
779	43501	12269
780	43559	12214
781	43617	12159
782	43673	12103
783	43729	12047
784	43787	11992
785	43847	11938
786	43905	11882
787	43960	11826
788	44021	11772
789	44101	11723
790	44160	11668
791	44221	11613
792	44279	11558
793	44341	11504
794	44407	11451
795	44468	11396
796	44522	11340
797	44582	11285
798	44635	11228
799	44692	11173
800	44749	11117
801	44798	11060
802	44855	11004
803	44912	10948
804	44967	10892
805	45025	10837
806	45081	10781
807	45156	10730
808	45212	10674
809	45270	10618
810	45343	10567
811	45400	10511
812	45465	10457
813	45522	10401
814	45583	10347
815	45643	10292
816	45701	10236
817	45770	10183
818	45828	10128
819	45886	10072
820	45944	10017
821	46010	9963
822	46069	9907
823	46126	9852
824	46183	9796
825	46245	9741
826	46303	9686
827	46358	9630
828	46413	9573
829	46491	9522
830	46555	9468
831	46616	9412
832	46677	9357
833	46733	9301
834	46797	9247
835	46853	9191
836	46904	9134
837	46959	9078
838	47016	9022
839	47070	8965
840	47124	8909
841	47179	8853
842	47236	8797
843	47292	8741
844	47345	8684
845	47399	8628
846	47457	8572
847	47511	8516
848	47569	8460
849	47630	8405
850	47688	8349
851	47748	8294
852	47810	8239
853	47868	8183
854	47928	8128
855	47986	8072
856	48048	8017
857	48107	7961
858	48164	7905
859	48224	7850
860	48281	7794
861	48338	7738
862	48395	7682
863	48456	7627
864	48513	7571
865	48566	7514
866	48620	7458
867	48678	7402
868	48734	7346
869	48789	7290
870	48844	7234
871	48898	7177
872	48954	7121
873	49004	7064
874	49059	7008
875	49114	6952
876	49169	6896
877	49226	6840
878	49281	6783
879	49337	6727
880	49393	6671
881	49453	6616
882	49506	6559
883	49558	6503
884	49612	6446
885	49667	6390
886	49722	6334
887	49776	6278
888	49832	6222
889	49885	6165
890	49937	6109
891	49993	6053
892	50048	5996
893	50116	5942
894	50169	5885
895	50223	5829
896	50278	5773
897	50332	5717
898	50387	5660
899	50447	5605
900	50502	5549
901	50559	5493
902	50614	5436
903	50668	5380
904	50724	5324
905	50780	5268
906	50838	5212
907	50893	5156
908	50950	5100
909	51006	5044
910	51060	4988
911	51111	4931
912	51167	4875
913	51221	4819
914	51276	4763
915	51335	4707
916	51391	4651
917	51453	4596
918	51508	4539
919	51564	4483
920	51624	4428
921	51680	4372
922	51738	4316
923	51795	4260
924	51848	4203
925	51904	4147
926	51961	4091
927	52017	4035
928	52074	3979
929	52129	3923
930	52182	3867
931	52237	3811
932	52296	3755
933	52355	3699
934	52413	3643
935	52466	3587
936	52523	3531
937	52584	3475
938	52641	3419
939	52695	3363
940	52749	3307
941	52806	3251
942	52861	3195
943	52918	3139
944	52970	3082
945	53023	3026
946	53078	2970
947	53136	2914
948	53191	2858
949	53246	2802
950	53302	2746
951	53358	2690
952	53414	2634
953	53471	2578
954	53525	2522
955	53580	2466
956	53635	2409
957	53692	2353
958	53748	2297
959	53803	2241
960	53859	2185
961	53915	2129
962	53972	2073
963	54028	2017
964	54082	1961
965	54138	1905
966	54194	1849
967	54249	1793
968	54302	1737
969	54355	1681
970	54412	1625
971	54469	1569
972	54524	1513
973	54576	1456
974	54633	1400
975	54686	1344
976	54744	1288
977	54808	1232
978	54867	1176
979	54923	1120
980	54977	1064
981	55032	1008
982	55087	952
983	55143	896
984	55197	840
985	55251	784
986	55304	728
987	55359	672
988	55419	616
989	55488	560
990	55543	504
991	55598	448
992	55654	392
993	55710	336
994	55767	280
995	55825	224
996	55879	168
997	55934	112
998	55988	56
999	56040	0
